original_tweet,original_tweet_id,original_user,rt_id
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982099924639744
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982029976231936
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953980415190142976
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979920530669568
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979892835766274
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979652946694145
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979165077884928
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953978711291891712
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953977867267817472
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953975164370391041
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953973995023556608
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953973671114235906
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953972982166310915
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953972740628930561
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953971621747920896
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953971229114949634
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953970639072911362
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953968448689836032
Media availability after #HouCouncil. Update on another hard freeze tonight. #Houwx https://t.co/1YkXK8TFVi,953750621676388353,HoustonTX,953925876147740673
We're back to normal operations following the #houwx event. We appreciate all of our employees who provided safe ca… https://t.co/8gsq0MX1w8,953730142857146369,MDAndersonNews,953919349206724608
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953909424984416256
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953882388681166848
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953865217091555328
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953864609378848768
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953851246649184257
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953847123510005760
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953845084860141568
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953843171749920768
"I created this when working back in OKC, but here ya go Houston, enjoy

WINTER WEATHER BINGO #houwx https://t.co/WTFvxME8NG",953268518560190464,keatonfox,953842993039118336
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953839041077792768
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953837413528371200
We can't stress this enough- the roadways are no place to be tonight. Stay home. Stay safe. Stay warm.  #houwx… https://t.co/0UXnippaQh,953464018034921472,houstonpolice,953837195978334208
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,953833258248220675
Another hard freeze for the #Houston area. But temperatures shouldn't be as cold after tonight. #houwx #txwx https://t.co/FezOv34ECR,953773266367320064,HellerWeather,953833237075382273
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953827806953185282
Please continue to stay off the roads people! Many are still covered in ice.  #houwx #houstonweather #hounews https://t.co/1bWr4LIMn5,953670313245540352,houstonpolice,953827742872756224
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953825596693532672
"Still need drivers to be careful with ice on the roads tonight especially on bridges, overpasses. #houwx",953706300181024769,SylvesterTurner,953822211990749184
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953820617232482304
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953820531316477955
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953818344515305472
"Still need drivers to be careful with ice on the roads tonight especially on bridges, overpasses. #houwx",953706300181024769,SylvesterTurner,953816559243415552
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954222899832999938
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954214161680076800
Thoroughly iced over 288 overpass at 59 near Downtown. Seriously people. Don’t drive here! #abc13 #houwx https://t.co/cBJ0aBvWRG,953348754958159872,ABC13Miya,954171895225638912
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954147861909917696
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954137479547883521
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954120655074709504
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,954082858490105856
UPDATE: List of Wednesday closings due to winter weather https://t.co/6ZuUAI9c5D #houwx #houstonweather… https://t.co/VjlfLFk80Q,953391748486778883,HPMNews887,954064172479864833
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954061350862577666
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954037589195059200
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954031804960460801
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954030661974753282
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954028634964221953
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025875045003264
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025614012534786
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954013283618615296
Getting colder! Currently it's 30F and Clear. #houwx,953845222542381056,mikemcguff,954007801621225472
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954006791528026113
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954006685357658118
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954002156218212353
Please continue to stay off the roads people! Many are still covered in ice.  #houwx #houstonweather #hounews https://t.co/1bWr4LIMn5,953670313245540352,houstonpolice,953998963648188416
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953998918056062976
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953995273243635712
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953994686842142721
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953994158439530498
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953994024003784704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993783955292160
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993338000158725
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953992206649569286
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953983096793288704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953983060055330816
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982099924639744
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982029976231936
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953980415190142976
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979920530669568
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979892835766274
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979652946694145
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979165077884928
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953978711291891712
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953977867267817472
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953975164370391041
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953973995023556608
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953973671114235906
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953972982166310915
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953972740628930561
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953971621747920896
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953971229114949634
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953970639072911362
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953968448689836032
Media availability after #HouCouncil. Update on another hard freeze tonight. #Houwx https://t.co/1YkXK8TFVi,953750621676388353,HoustonTX,953925876147740673
We're back to normal operations following the #houwx event. We appreciate all of our employees who provided safe ca… https://t.co/8gsq0MX1w8,953730142857146369,MDAndersonNews,953919349206724608
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953909424984416256
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953882388681166848
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953865217091555328
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953864609378848768
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953851246649184257
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953847123510005760
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953845084860141568
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953843171749920768
"I created this when working back in OKC, but here ya go Houston, enjoy

WINTER WEATHER BINGO #houwx https://t.co/WTFvxME8NG",953268518560190464,keatonfox,953842993039118336
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953839041077792768
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953837413528371200
We can't stress this enough- the roadways are no place to be tonight. Stay home. Stay safe. Stay warm.  #houwx… https://t.co/0UXnippaQh,953464018034921472,houstonpolice,953837195978334208
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,953833258248220675
Another hard freeze for the #Houston area. But temperatures shouldn't be as cold after tonight. #houwx #txwx https://t.co/FezOv34ECR,953773266367320064,HellerWeather,953833237075382273
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953827806953185282
Please continue to stay off the roads people! Many are still covered in ice.  #houwx #houstonweather #hounews https://t.co/1bWr4LIMn5,953670313245540352,houstonpolice,953827742872756224
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953825596693532672
"Still need drivers to be careful with ice on the roads tonight especially on bridges, overpasses. #houwx",953706300181024769,SylvesterTurner,953822211990749184
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953820617232482304
METRO to Return to Normal Service on Thursday https://t.co/ujX3N59jkR #houwx #txwx https://t.co/h6MeIIejeA,953776181828096000,AlertHouston,953820531316477955
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,953818344515305472
"Still need drivers to be careful with ice on the roads tonight especially on bridges, overpasses. #houwx",953706300181024769,SylvesterTurner,953816559243415552
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953808376865189888
Media availability after #HouCouncil. Update on another hard freeze tonight. #Houwx https://t.co/1YkXK8TFVi,953750621676388353,HoustonTX,953803610332200962
Another hard freeze for the #Houston area. But temperatures shouldn't be as cold after tonight. #houwx #txwx https://t.co/FezOv34ECR,953773266367320064,HellerWeather,953800825889017856
"People, it’s gonna be warm by the weekend. You don’t HAVE to buy every loaf of bread. #Houwx #abc13",953111686390648832,ABC13Miya,953794006416265216
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,953791531621801985
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,953791210099040257
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954222899832999938
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954214161680076800
Thoroughly iced over 288 overpass at 59 near Downtown. Seriously people. Don’t drive here! #abc13 #houwx https://t.co/cBJ0aBvWRG,953348754958159872,ABC13Miya,954171895225638912
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954147861909917696
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954137479547883521
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954120655074709504
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,954082858490105856
UPDATE: List of Wednesday closings due to winter weather https://t.co/6ZuUAI9c5D #houwx #houstonweather… https://t.co/VjlfLFk80Q,953391748486778883,HPMNews887,954064172479864833
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954061350862577666
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954037589195059200
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954031804960460801
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954030661974753282
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954028634964221953
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025875045003264
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025614012534786
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954013283618615296
Getting colder! Currently it's 30F and Clear. #houwx,953845222542381056,mikemcguff,954007801621225472
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954006791528026113
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954006685357658118
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954002156218212353
Please continue to stay off the roads people! Many are still covered in ice.  #houwx #houstonweather #hounews https://t.co/1bWr4LIMn5,953670313245540352,houstonpolice,953998963648188416
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953998918056062976
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953995273243635712
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953994686842142721
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953994158439530498
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953994024003784704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993783955292160
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993338000158725
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953992206649569286
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953983096793288704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953983060055330816
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982099924639744
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953982029976231936
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953980415190142976
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979920530669568
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953979892835766274
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979652946694145
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953979165077884928
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953978711291891712
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953977867267817472
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953975164370391041
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953973995023556608
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953973671114235906
